code,for gender,main accords,longevity,sillage,gender,top notes,middle notes,base notes,sentiment_data,season_data
h2,for women,"{'vanilla': 100.0, 'coffee': 88.1538, 'white floral': 81.6922, 'warm spicy': 64.8922, 'sweet': 59.5076, 'citrus': 55.8463, 'powdery': 50.9999}","{'very weak': '70', 'weak': '222', 'moderate': '402', 'long lasting': '111', 'eternal': '19'}","{'intimate': '197', 'moderate': '482', 'strong': '80', 'enormous': '12'}","{'female': '604', 'more female': '123', 'unisex': '34', 'more male': '1', 'male': '5'}",{'Orange Blossom': 2.5},{'Coffee': 3.375},{'Vanilla': 5.0},"{'love': 78.937, 'like': 100.0, 'ok': 35.8268, 'dislike': 12.9921, 'hate': 4.92126}","{'winter': 97.0962, 'spring': 56.4428, 'summer': 35.7532, 'fall': 100.0, 'day': 78.9474, 'night': 93.1034}"
h4,for women and men,"{'amber': 100.0, 'smoky': 78.3139, 'woody': 75.0813, 'oud': 72.5703, 'cannabis': 66.344, 'balsamic': 64.2639, 'green': 59.0759, 'aromatic': 57.1046, 'warm spicy': 54.2863, 'tobacco': 53.4054}","{'very weak': '176', 'weak': '189', 'moderate': '744', 'long lasting': '2020', 'eternal': '3223'}","{'intimate': '381', 'moderate': '1408', 'strong': '2584', 'enormous': '2377'}","{'female': '62', 'more female': '51', 'unisex': '1460', 'more male': '1277', 'male': '1822'}","{'cannabis': 4.625, 'Green Notes': 3.2, 'Davana': 2.55, 'Saffron': 2.525, 'Thyme': 2.5}","{'Resins': 4.425, 'Woodsy Notes': 4.325, 'Tobacco': 3.85, 'Coffee': 3.15, 'Cinnamon': 2.5, 'Violet': 2.5, 'Raspberry': 2.5}","{'Agarwood (Oud)': 5.0, 'Incense': 4.925, 'Amber': 2.6, 'Animal notes': 2.575, 'Guaiac Wood': 2.575, 'Tonka': 2.55, 'Musk': 2.55, 'Gurjan balsam': 2.55, 'Cedar': 2.55, 'Ambroxan': 2.525, 'Vanilla': 2.525}","{'love': 100.0, 'like': 57.3295, 'ok': 13.8826, 'dislike': 24.2803, 'hate': 7.85985}","{'winter': 100.0, 'spring': 30.1587, 'summer': 17.7824, 'fall': 88.1758, 'day': 37.9342, 'night': 97.2625}"
h5,for women and men,"{'powdery': 100.0, 'musky': 99.7674, 'floral': 76.5116, 'white floral': 71.8606, 'vanilla': 67.2092, 'violet': 62.5582, 'sweet': 56.0463, 'honey': 53.2558, 'animalic': 51.1627, 'aquatic': 48.6048}","{'very weak': '0', 'weak': '0', 'moderate': '1', 'long lasting': '4', 'eternal': '1'}","{'intimate': '2', 'moderate': '2', 'strong': '2', 'enormous': '0'}","{'female': '2', 'more female': '3', 'unisex': '2', 'more male': '1', 'male': '0'}","{'Lily': 3.5, 'Vanilla': 3.25, 'Violet': 3.0}","{'White Musk': 5.0, 'Lotus': 3.25, 'Honey': 2.5}","{'White Musk': 5.0, 'Lotus': 3.25, 'Honey': 2.5}","{'love': 100.0, 'like': 44.4444, 'ok': 11.1111, 'dislike': 0.0, 'hate': 0.0}","{'winter': 71.4286, 'spring': 100.0, 'summer': 85.7143, 'fall': 100.0, 'day': 100.0, 'night': 85.7143}"
h12,for women and men,"{'lavender': 100.0, 'woody': 100.0, 'citrus': 86.5385, 'floral': 71.9997, 'musky': 67.6923, 'fresh spicy': 62.3077, 'aromatic': 60.8267, 'fresh': 58.2693, 'fruity': 56.923, 'sweet': 50.7309}","{'very weak': '2', 'weak': '5', 'moderate': '3', 'long lasting': '7', 'eternal': '9'}","{'intimate': '6', 'moderate': '7', 'strong': '3', 'enormous': '9'}","{'female': '0', 'more female': '0', 'unisex': '0', 'more male': '1', 'male': '4'}","{'Lavender': 5.0, 'Citruses': 4.225}","{'Floral Notes': 2.975, 'Fruity Notes': 2.5}","{'Woodsy Notes': 5.0, 'Musk': 3.125}","{'love': 61.1111, 'like': 100.0, 'ok': 0.0, 'dislike': 38.8889, 'hate': 0.0}","{'winter': 33.3333, 'spring': 38.8889, 'summer': 94.4444, 'fall': 33.3333, 'day': 100.0, 'night': 27.7778}"
h13,for women,"{'rose': 100.0, 'floral': 91.2499, 'warm spicy': 80.8084, 'musky': 75.7917, 'powdery': 73.0206, 'woody': 70.2498}","{'very weak': '11', 'weak': '19', 'moderate': '61', 'long lasting': '117', 'eternal': '89'}","{'intimate': '28', 'moderate': '105', 'strong': '136', 'enormous': '73'}","{'female': '69', 'more female': '27', 'unisex': '53', 'more male': '2', 'male': '4'}","{'Rose': 5.0, 'Spices': 3.275, 'Musk': 2.975, 'Floral Notes': 2.5, 'Sandalwood': 2.5}",{},{},"{'love': 76.1682, 'like': 100.0, 'ok': 13.0841, 'dislike': 21.028, 'hate': 1.40187}","{'winter': 87.1622, 'spring': 83.7838, 'summer': 50.0, 'fall': 80.4054, 'day': 100.0, 'night': 81.0811}"
h17,for women and men,"{'aromatic': 100.0, 'woody': 76.9124, 'fresh spicy': 58.8942, 'herbal': 56.636, 'oud': 54.4239, 'lavender': 53.5024, 'earthy': 47.143, 'soft spicy': 45.6683, 'patchouli': 45.2073}","{'very weak': '8', 'weak': '12', 'moderate': '50', 'long lasting': '56', 'eternal': '17'}","{'intimate': '15', 'moderate': '57', 'strong': '68', 'enormous': '32'}","{'female': '5', 'more female': '2', 'unisex': '51', 'more male': '37', 'male': '35'}","{'Agarwood (Oud)': 4.05, 'Cedar': 2.5}","{'Sage': 5.0, 'Lavender': 3.85, 'Rosemary': 3.525}","{'Vetiver': 3.175, 'Patchouli': 2.625}","{'love': 58.8235, 'like': 100.0, 'ok': 29.4118, 'dislike': 34.1176, 'hate': 17.6471}","{'winter': 67.4699, 'spring': 100.0, 'summer': 66.2651, 'fall': 86.747, 'day': 89.1566, 'night': 69.8795}"
h18,for women and men,"{'sweet': 100.0, 'warm spicy': 81.7488, 'vanilla': 80.1869, 'amber': 77.1293, 'cinnamon': 67.6038, 'woody': 48.912, 'fresh spicy': 48.7276, 'fruity': 44.246}","{'very weak': '151', 'weak': '328', 'moderate': '3566', 'long lasting': '8795', 'eternal': '2805'}","{'intimate': '468', 'moderate': '5050', 'strong': '7990', 'enormous': '1635'}","{'female': '1149', 'more female': '2133', 'unisex': '9606', 'more male': '2347', 'male': '939'}","{'Cinnamon': 5.0, 'Nutmeg': 3.45, 'Bergamot': 2.55}","{'Dates': 4.325, 'Praline': 3.975, 'Tuberose': 2.6, 'Mahonial': 2.5}","{'Vanilla': 4.65, 'Tonka Bean': 3.65, 'Amberwood': 3.275, 'Myrrh': 3.075, 'Benzoin': 3.025, 'Akigalawood': 2.9}","{'love': 100.0, 'like': 44.2916, 'ok': 14.2125, 'dislike': 8.65696, 'hate': 4.90831}","{'winter': 100.0, 'spring': 22.2011, 'summer': 12.7931, 'fall': 83.4848, 'day': 37.8957, 'night': 80.3048}"
h21,for women and men,"{'musky': 100.0, 'powdery': 85.7327, 'citrus': 81.054, 'vanilla': 78.8194, 'sweet': 73.9961, 'fruity': 61.3482, 'amber': 53.2853, 'fresh spicy': 48.9753, 'aquatic': 46.7191, 'animalic': 45.157}","{'very weak': '38', 'weak': '84', 'moderate': '525', 'long lasting': '688', 'eternal': '254'}","{'intimate': '105', 'moderate': '644', 'strong': '630', 'enormous': '189'}","{'female': '353', 'more female': '395', 'unisex': '733', 'more male': '89', 'male': '45'}","{'Bergamot': 2.875, 'Orange': 2.5}","{'Vanilla': 3.85, 'Pear': 3.525}","{'Musk': 5.0, 'Amber': 2.575}","{'love': 100.0, 'like': 94.4669, 'ok': 38.4615, 'dislike': 24.4265, 'hate': 17.6788}","{'winter': 52.1359, 'spring': 97.0874, 'summer': 89.1262, 'fall': 73.8835, 'day': 100.0, 'night': 62.9126}"
h24,for women and men,"{'cherry': 100.0, 'sweet': 94.3207, 'almond': 86.9121, 'nutty': 77.345, 'fruity': 73.7301, 'vanilla': 64.3773, 'warm spicy': 58.113, 'amber': 54.6754, 'woody': 52.0563, 'balsamic': 48.5998}","{'very weak': '492', 'weak': '1187', 'moderate': '3397', 'long lasting': '2032', 'eternal': '598'}","{'intimate': '1215', 'moderate': '4040', 'strong': '1822', 'enormous': '656'}","{'female': '2953', 'more female': '2231', 'unisex': '2269', 'more male': '102', 'male': '102'}","{'Bitter Almond': 4.25, 'Black Cherry': 3.35, 'Cherry Liqueur': 3.025}","{'Sour Cherry': 5.0, 'Plum': 2.875, 'Turkish Rose': 2.575, 'Jasmine Sambac': 2.5}","{'Vanilla': 3.35, 'Tonka Bean': 3.275, 'Cinnamon': 2.925, 'Peru Balsam': 2.85, 'Sandalwood': 2.8, 'Benzoin': 2.775, 'Cloves': 2.675, 'Cedar': 2.625, 'Patchouli': 2.55, 'Vetiver': 2.525}","{'love': 100.0, 'like': 61.2204, 'ok': 23.0007, 'dislike': 17.5736, 'hate': 7.10696}","{'winter': 96.1172, 'spring': 53.6264, 'summer': 34.7436, 'fall': 100.0, 'day': 65.4762, 'night': 93.6447}"
h25,for women and men,"{'amber': 100.0, 'oud': 82.3236, 'warm spicy': 78.2949, 'rose': 72.2704, 'smoky': 71.9879, 'woody': 57.73, 'fruity': 57.1295, 'leather': 55.5491, 'balsamic': 50.9579, 'sweet': 48.9905}","{'very weak': '53', 'weak': '50', 'moderate': '288', 'long lasting': '999', 'eternal': '2197'}","{'intimate': '79', 'moderate': '434', 'strong': '1265', 'enormous': '1779'}","{'female': '60', 'more female': '46', 'unisex': '764', 'more male': '989', 'male': '1555'}","{'Agarwood (Oud)': 5.0, 'Incense': 4.075, 'Rose': 3.975, 'Raspberry': 3.625, 'Amberwood': 3.325, 'Saffron': 3.275, 'Birch': 3.075, 'Benzoin': 3.05, 'Geranium': 2.5}",{},{},"{'love': 100.0, 'like': 28.1261, 'ok': 11.4423, 'dislike': 10.8599, 'hate': 7.15999}","{'winter': 100.0, 'spring': 27.1668, 'summer': 13.2556, 'fall': 79.3882, 'day': 29.4246, 'night': 88.7109}"
