code,for gender,main accords,longevity,sillage,gender,top notes,middle notes,base notes,sentiment_data,season_data,longevity_pct,sillage_pct,gender_pct,main_accords_pct,top_notes_pct,middle_notes_pct,base_notes_pct,sentiment_pct,season_pct,day_night_pct,gender_score,longevity_score,sillage_score,day_night_score,season_score,scent_dna
h2,for women,"{'vanilla': 100.0, 'coffee': 88.1538, 'white floral': 81.6922, 'warm spicy': 64.8922, 'sweet': 59.5076, 'citrus': 55.8463, 'powdery': 50.9999}","{'very weak': '70', 'weak': '222', 'moderate': '402', 'long lasting': '111', 'eternal': '19'}","{'intimate': '197', 'moderate': '482', 'strong': '80', 'enormous': '12'}","{'female': '604', 'more female': '123', 'unisex': '34', 'more male': '1', 'male': '5'}",{'Orange Blossom': 2.5},{'Coffee': 3.375},{'Vanilla': 5.0},"{'love': 78.937, 'like': 100.0, 'ok': 35.8268, 'dislike': 12.9921, 'hate': 4.92126}","{'winter': 97.0962, 'spring': 56.4428, 'summer': 35.7532, 'fall': 100.0, 'day': 78.9474, 'night': 93.1034}","{'very weak': 8.5, 'weak': 26.9, 'moderate': 48.8, 'long lasting': 13.5, 'eternal': 2.3}","{'intimate': 25.6, 'moderate': 62.5, 'strong': 10.4, 'enormous': 1.6}","{'female': 78.7, 'more female': 16.0, 'unisex': 4.4, 'more male': 0.1, 'male': 0.7}","{'vanilla': 20.1, 'coffee': 17.7, 'white floral': 16.3, 'warm spicy': 12.9, 'sweet': 11.9, 'citrus': 11.1, 'powdery': 10.1}",{'Orange Blossom': 0.2299},{'Coffee': 0.3103},{'Vanilla': 0.4598},"{'love': 34.1, 'like': 43.7, 'ok': 15.3, 'dislike': 5.2, 'hate': 1.7}","{'winter': 33.6, 'spring': 19.5, 'summer': 12.4, 'fall': 34.6}","{'day': 45.9, 'night': 54.1}",7.0,43.6,29.3,54.1,49.3,"A for women perfume with vanilla, coffee, white floral, warm spicy, sweet, citrus, powdery accords. Features notes of Orange Blossom. Good for {'winter': 97.0962, 'spring': 56.4428, 'summer': 35.7532, 'fall': 100.0, 'day': 78.9474, 'night': 93.1034}."
h4,for women and men,"{'amber': 100.0, 'smoky': 78.3139, 'woody': 75.0813, 'oud': 72.5703, 'cannabis': 66.344, 'balsamic': 64.2639, 'green': 59.0759, 'aromatic': 57.1046, 'warm spicy': 54.2863, 'tobacco': 53.4054}","{'very weak': '176', 'weak': '189', 'moderate': '744', 'long lasting': '2020', 'eternal': '3223'}","{'intimate': '381', 'moderate': '1408', 'strong': '2584', 'enormous': '2377'}","{'female': '62', 'more female': '51', 'unisex': '1460', 'more male': '1277', 'male': '1822'}","{'cannabis': 4.625, 'Green Notes': 3.2, 'Davana': 2.55, 'Saffron': 2.525, 'Thyme': 2.5}","{'Resins': 4.425, 'Woodsy Notes': 4.325, 'Tobacco': 3.85, 'Coffee': 3.15, 'Cinnamon': 2.5, 'Violet': 2.5, 'Raspberry': 2.5}","{'Agarwood (Oud)': 5.0, 'Incense': 4.925, 'Amber': 2.6, 'Animal notes': 2.575, 'Guaiac Wood': 2.575, 'Tonka': 2.55, 'Musk': 2.55, 'Gurjan balsam': 2.55, 'Cedar': 2.55, 'Ambroxan': 2.525, 'Vanilla': 2.525}","{'love': 100.0, 'like': 57.3295, 'ok': 13.8826, 'dislike': 24.2803, 'hate': 7.85985}","{'winter': 100.0, 'spring': 30.1587, 'summer': 17.7824, 'fall': 88.1758, 'day': 37.9342, 'night': 97.2625}","{'very weak': 2.8, 'weak': 3.0, 'moderate': 11.7, 'long lasting': 31.8, 'eternal': 50.7}","{'intimate': 5.6, 'moderate': 20.9, 'strong': 38.3, 'enormous': 35.2}","{'female': 1.3, 'more female': 1.1, 'unisex': 31.2, 'more male': 27.3, 'male': 39.0}","{'amber': 14.7, 'smoky': 11.5, 'woody': 11.1, 'oud': 10.6, 'cannabis': 9.7, 'balsamic': 9.4, 'green': 8.7, 'aromatic': 8.4, 'warm spicy': 8.0, 'tobacco': 7.8}","{'cannabis': 0.0646, 'Green Notes': 0.0447, 'Davana': 0.0356, 'Saffron': 0.0353, 'Thyme': 0.0349}","{'Resins': 0.0618, 'Woodsy Notes': 0.0604, 'Tobacco': 0.0538, 'Coffee': 0.044, 'Cinnamon': 0.0349, 'Violet': 0.0349, 'Raspberry': 0.0349}","{'Agarwood (Oud)': 0.0699, 'Incense': 0.0688, 'Amber': 0.0363, 'Animal notes': 0.036, 'Guaiac Wood': 0.036, 'Tonka': 0.0356, 'Musk': 0.0356, 'Gurjan balsam': 0.0356, 'Cedar': 0.0356, 'Ambroxan': 0.0353, 'Vanilla': 0.0353}","{'love': 49.8, 'like': 28.4, 'ok': 6.5, 'dislike': 11.9, 'hate': 3.5}","{'winter': 42.4, 'spring': 12.8, 'summer': 7.5, 'fall': 37.3}","{'day': 28.1, 'night': 71.9}",75.4,81.2,67.7,71.9,46.6,"A for women and men perfume with amber, smoky, woody, oud, cannabis, balsamic, green, aromatic, warm spicy, tobacco accords. Features notes of cannabis, Green Notes, Davana, Saffron, Thyme. Good for {'winter': 100.0, 'spring': 30.1587, 'summer': 17.7824, 'fall': 88.1758, 'day': 37.9342, 'night': 97.2625}."
h5,for women and men,"{'powdery': 100.0, 'musky': 99.7674, 'floral': 76.5116, 'white floral': 71.8606, 'vanilla': 67.2092, 'violet': 62.5582, 'sweet': 56.0463, 'honey': 53.2558, 'animalic': 51.1627, 'aquatic': 48.6048}","{'very weak': '0', 'weak': '0', 'moderate': '1', 'long lasting': '4', 'eternal': '1'}","{'intimate': '2', 'moderate': '2', 'strong': '2', 'enormous': '0'}","{'female': '2', 'more female': '3', 'unisex': '2', 'more male': '1', 'male': '0'}","{'Lily': 3.5, 'Vanilla': 3.25, 'Violet': 3.0}","{'White Musk': 5.0, 'Lotus': 3.25, 'Honey': 2.5}","{'White Musk': 5.0, 'Lotus': 3.25, 'Honey': 2.5}","{'love': 100.0, 'like': 44.4444, 'ok': 11.1111, 'dislike': 0.0, 'hate': 0.0}","{'winter': 71.4286, 'spring': 100.0, 'summer': 85.7143, 'fall': 100.0, 'day': 100.0, 'night': 85.7143}","{'very weak': 0.0, 'weak': 0.0, 'moderate': 16.7, 'long lasting': 66.7, 'eternal': 16.7}","{'intimate': 33.3, 'moderate': 33.3, 'strong': 33.3, 'enormous': 0.0}","{'female': 25.0, 'more female': 37.5, 'unisex': 25.0, 'more male': 12.5, 'male': 0.0}","{'powdery': 14.6, 'musky': 14.5, 'floral': 11.1, 'white floral': 10.4, 'vanilla': 9.8, 'violet': 9.1, 'sweet': 8.2, 'honey': 7.8, 'animalic': 7.5, 'aquatic': 7.0}","{'Lily': 0.112, 'Vanilla': 0.104, 'Violet': 0.096}","{'White Musk': 0.16, 'Lotus': 0.104, 'Honey': 0.08}","{'White Musk': 0.16, 'Lotus': 0.104, 'Honey': 0.08}","{'love': 64.5, 'like': 28.4, 'ok': 7.1, 'dislike': 0.0, 'hate': 0.0}","{'winter': 20.0, 'spring': 28.0, 'summer': 24.0, 'fall': 28.0}","{'day': 53.8, 'night': 46.2}",31.2,75.0,33.3,46.2,53.3,"A for women and men perfume with powdery, musky, floral, white floral, vanilla, violet, sweet, honey, animalic, aquatic accords. Features notes of Lily, Vanilla, Violet. Good for {'winter': 71.4286, 'spring': 100.0, 'summer': 85.7143, 'fall': 100.0, 'day': 100.0, 'night': 85.7143}."
h12,for women and men,"{'lavender': 100.0, 'woody': 100.0, 'citrus': 86.5385, 'floral': 71.9997, 'musky': 67.6923, 'fresh spicy': 62.3077, 'aromatic': 60.8267, 'fresh': 58.2693, 'fruity': 56.923, 'sweet': 50.7309}","{'very weak': '2', 'weak': '5', 'moderate': '3', 'long lasting': '7', 'eternal': '9'}","{'intimate': '6', 'moderate': '7', 'strong': '3', 'enormous': '9'}","{'female': '0', 'more female': '0', 'unisex': '0', 'more male': '1', 'male': '4'}","{'Lavender': 5.0, 'Citruses': 4.225}","{'Floral Notes': 2.975, 'Fruity Notes': 2.5}","{'Woodsy Notes': 5.0, 'Musk': 3.125}","{'love': 61.1111, 'like': 100.0, 'ok': 0.0, 'dislike': 38.8889, 'hate': 0.0}","{'winter': 33.3333, 'spring': 38.8889, 'summer': 94.4444, 'fall': 33.3333, 'day': 100.0, 'night': 27.7778}","{'very weak': 7.7, 'weak': 19.2, 'moderate': 11.5, 'long lasting': 26.9, 'eternal': 34.6}","{'intimate': 24.0, 'moderate': 28.0, 'strong': 12.0, 'enormous': 36.0}","{'female': 0.0, 'more female': 0.0, 'unisex': 0.0, 'more male': 20.0, 'male': 80.0}","{'lavender': 14.1, 'woody': 14.1, 'citrus': 12.1, 'floral': 10.0, 'musky': 9.4, 'fresh spicy': 8.7, 'aromatic': 8.5, 'fresh': 8.2, 'fruity': 7.9, 'sweet': 7.0}","{'Lavender': 0.2191, 'Citruses': 0.1851}","{'Floral Notes': 0.1303, 'Fruity Notes': 0.1095}","{'Woodsy Notes': 0.2191, 'Musk': 0.1369}","{'love': 30.7, 'like': 50.3, 'ok': 0.0, 'dislike': 19.1, 'hate': 0.0}","{'winter': 16.7, 'spring': 19.4, 'summer': 47.2, 'fall': 16.7}","{'day': 78.3, 'night': 21.7}",95.0,65.4,53.3,21.7,54.6,"A for women and men perfume with lavender, woody, citrus, floral, musky, fresh spicy, aromatic, fresh, fruity, sweet accords. Features notes of Lavender, Citruses. Good for {'winter': 33.3333, 'spring': 38.8889, 'summer': 94.4444, 'fall': 33.3333, 'day': 100.0, 'night': 27.7778}."
h13,for women,"{'rose': 100.0, 'floral': 91.2499, 'warm spicy': 80.8084, 'musky': 75.7917, 'powdery': 73.0206, 'woody': 70.2498}","{'very weak': '11', 'weak': '19', 'moderate': '61', 'long lasting': '117', 'eternal': '89'}","{'intimate': '28', 'moderate': '105', 'strong': '136', 'enormous': '73'}","{'female': '69', 'more female': '27', 'unisex': '53', 'more male': '2', 'male': '4'}","{'Rose': 5.0, 'Spices': 3.275, 'Musk': 2.975, 'Floral Notes': 2.5, 'Sandalwood': 2.5}",{},{},"{'love': 76.1682, 'like': 100.0, 'ok': 13.0841, 'dislike': 21.028, 'hate': 1.40187}","{'winter': 87.1622, 'spring': 83.7838, 'summer': 50.0, 'fall': 80.4054, 'day': 100.0, 'night': 81.0811}","{'very weak': 3.7, 'weak': 6.4, 'moderate': 20.5, 'long lasting': 39.4, 'eternal': 30.0}","{'intimate': 8.2, 'moderate': 30.7, 'strong': 39.8, 'enormous': 21.3}","{'female': 44.5, 'more female': 17.4, 'unisex': 34.2, 'more male': 1.3, 'male': 2.6}","{'rose': 20.4, 'floral': 18.6, 'warm spicy': 16.4, 'musky': 15.3, 'powdery': 14.9, 'woody': 14.3}","{'Rose': 0.3077, 'Spices': 0.2015, 'Musk': 0.1831, 'Floral Notes': 0.1538, 'Sandalwood': 0.1538}",{},{},"{'love': 36.0, 'like': 47.4, 'ok': 6.2, 'dislike': 10.0, 'hate': 0.5}","{'winter': 28.9, 'spring': 27.8, 'summer': 16.6, 'fall': 26.7}","{'day': 55.2, 'night': 44.8}",25.0,71.4,58.1,44.8,47.0,"A for women perfume with rose, floral, warm spicy, musky, powdery, woody accords. Features notes of Rose, Spices, Musk, Floral Notes, Sandalwood. Good for {'winter': 87.1622, 'spring': 83.7838, 'summer': 50.0, 'fall': 80.4054, 'day': 100.0, 'night': 81.0811}."
h17,for women and men,"{'aromatic': 100.0, 'woody': 76.9124, 'fresh spicy': 58.8942, 'herbal': 56.636, 'oud': 54.4239, 'lavender': 53.5024, 'earthy': 47.143, 'soft spicy': 45.6683, 'patchouli': 45.2073}","{'very weak': '8', 'weak': '12', 'moderate': '50', 'long lasting': '56', 'eternal': '17'}","{'intimate': '15', 'moderate': '57', 'strong': '68', 'enormous': '32'}","{'female': '5', 'more female': '2', 'unisex': '51', 'more male': '37', 'male': '35'}","{'Agarwood (Oud)': 4.05, 'Cedar': 2.5}","{'Sage': 5.0, 'Lavender': 3.85, 'Rosemary': 3.525}","{'Vetiver': 3.175, 'Patchouli': 2.625}","{'love': 58.8235, 'like': 100.0, 'ok': 29.4118, 'dislike': 34.1176, 'hate': 17.6471}","{'winter': 67.4699, 'spring': 100.0, 'summer': 66.2651, 'fall': 86.747, 'day': 89.1566, 'night': 69.8795}","{'very weak': 5.6, 'weak': 8.4, 'moderate': 35.0, 'long lasting': 39.2, 'eternal': 11.9}","{'intimate': 8.7, 'moderate': 33.1, 'strong': 39.5, 'enormous': 18.6}","{'female': 3.8, 'more female': 1.5, 'unisex': 39.2, 'more male': 28.5, 'male': 26.9}","{'aromatic': 18.7, 'woody': 14.2, 'fresh spicy': 10.9, 'herbal': 10.5, 'oud': 10.1, 'lavender': 9.9, 'earthy': 8.8, 'soft spicy': 8.4, 'patchouli': 8.4}","{'Agarwood (Oud)': 0.1638, 'Cedar': 0.1011}","{'Sage': 0.2022, 'Lavender': 0.1557, 'Rosemary': 0.1426}","{'Vetiver': 0.1284, 'Patchouli': 0.1062}","{'love': 24.4, 'like': 42.0, 'ok': 12.2, 'dislike': 14.3, 'hate': 7.1}","{'winter': 21.1, 'spring': 31.2, 'summer': 20.7, 'fall': 27.1}","{'day': 56.1, 'night': 43.9}",68.3,60.8,56.0,43.9,51.2,"A for women and men perfume with aromatic, woody, fresh spicy, herbal, oud, lavender, earthy, soft spicy, patchouli accords. Features notes of Agarwood (Oud), Cedar. Good for {'winter': 67.4699, 'spring': 100.0, 'summer': 66.2651, 'fall': 86.747, 'day': 89.1566, 'night': 69.8795}."
h18,for women and men,"{'sweet': 100.0, 'warm spicy': 81.7488, 'vanilla': 80.1869, 'amber': 77.1293, 'cinnamon': 67.6038, 'woody': 48.912, 'fresh spicy': 48.7276, 'fruity': 44.246}","{'very weak': '151', 'weak': '328', 'moderate': '3566', 'long lasting': '8795', 'eternal': '2805'}","{'intimate': '468', 'moderate': '5050', 'strong': '7990', 'enormous': '1635'}","{'female': '1149', 'more female': '2133', 'unisex': '9606', 'more male': '2347', 'male': '939'}","{'Cinnamon': 5.0, 'Nutmeg': 3.45, 'Bergamot': 2.55}","{'Dates': 4.325, 'Praline': 3.975, 'Tuberose': 2.6, 'Mahonial': 2.5}","{'Vanilla': 4.65, 'Tonka Bean': 3.65, 'Amberwood': 3.275, 'Myrrh': 3.075, 'Benzoin': 3.025, 'Akigalawood': 2.9}","{'love': 100.0, 'like': 44.2916, 'ok': 14.2125, 'dislike': 8.65696, 'hate': 4.90831}","{'winter': 100.0, 'spring': 22.2011, 'summer': 12.7931, 'fall': 83.4848, 'day': 37.8957, 'night': 80.3048}","{'very weak': 1.0, 'weak': 2.1, 'moderate': 22.8, 'long lasting': 56.2, 'eternal': 17.9}","{'intimate': 3.1, 'moderate': 33.3, 'strong': 52.8, 'enormous': 10.8}","{'female': 7.1, 'more female': 13.2, 'unisex': 59.4, 'more male': 14.5, 'male': 5.8}","{'sweet': 18.3, 'warm spicy': 14.9, 'vanilla': 14.7, 'amber': 14.1, 'cinnamon': 12.3, 'woody': 8.8, 'fresh spicy': 8.8, 'fruity': 8.1}","{'Cinnamon': 0.1112, 'Nutmeg': 0.0767, 'Bergamot': 0.0567}","{'Dates': 0.0962, 'Praline': 0.0884, 'Tuberose': 0.0578, 'Mahonial': 0.0556}","{'Vanilla': 0.1034, 'Tonka Bean': 0.0812, 'Amberwood': 0.0728, 'Myrrh': 0.0684, 'Benzoin': 0.0673, 'Akigalawood': 0.0645}","{'love': 58.8, 'like': 25.9, 'ok': 8.2, 'dislike': 4.7, 'hate': 2.4}","{'winter': 45.8, 'spring': 10.2, 'summer': 5.9, 'fall': 38.2}","{'day': 32.1, 'night': 67.9}",49.7,72.0,57.1,67.9,45.5,"A for women and men perfume with sweet, warm spicy, vanilla, amber, cinnamon, woody, fresh spicy, fruity accords. Features notes of Cinnamon, Nutmeg, Bergamot. Good for {'winter': 100.0, 'spring': 22.2011, 'summer': 12.7931, 'fall': 83.4848, 'day': 37.8957, 'night': 80.3048}."
h21,for women and men,"{'musky': 100.0, 'powdery': 85.7327, 'citrus': 81.054, 'vanilla': 78.8194, 'sweet': 73.9961, 'fruity': 61.3482, 'amber': 53.2853, 'fresh spicy': 48.9753, 'aquatic': 46.7191, 'animalic': 45.157}","{'very weak': '38', 'weak': '84', 'moderate': '525', 'long lasting': '688', 'eternal': '254'}","{'intimate': '105', 'moderate': '644', 'strong': '630', 'enormous': '189'}","{'female': '353', 'more female': '395', 'unisex': '733', 'more male': '89', 'male': '45'}","{'Bergamot': 2.875, 'Orange': 2.5}","{'Vanilla': 3.85, 'Pear': 3.525}","{'Musk': 5.0, 'Amber': 2.575}","{'love': 100.0, 'like': 94.4669, 'ok': 38.4615, 'dislike': 24.4265, 'hate': 17.6788}","{'winter': 52.1359, 'spring': 97.0874, 'summer': 89.1262, 'fall': 73.8835, 'day': 100.0, 'night': 62.9126}","{'very weak': 2.4, 'weak': 5.3, 'moderate': 33.0, 'long lasting': 43.3, 'eternal': 16.0}","{'intimate': 6.7, 'moderate': 41.1, 'strong': 40.2, 'enormous': 12.1}","{'female': 21.9, 'more female': 24.5, 'unisex': 45.4, 'more male': 5.5, 'male': 2.8}","{'musky': 14.9, 'powdery': 12.7, 'citrus': 12.1, 'vanilla': 11.6, 'sweet': 10.9, 'fruity': 9.1, 'amber': 7.9, 'fresh spicy': 7.2, 'aquatic': 6.9, 'animalic': 6.7}","{'Bergamot': 0.1415, 'Orange': 0.123}","{'Vanilla': 0.1894, 'Pear': 0.1734}","{'Musk': 0.246, 'Amber': 0.1267}","{'love': 36.6, 'like': 34.4, 'ok': 13.9, 'dislike': 8.8, 'hate': 6.2}","{'winter': 16.7, 'spring': 31.1, 'summer': 28.5, 'fall': 23.7}","{'day': 61.4, 'night': 38.6}",35.7,66.3,52.5,38.6,53.1,"A for women and men perfume with musky, powdery, citrus, vanilla, sweet, fruity, amber, fresh spicy, aquatic, animalic accords. Features notes of Bergamot, Orange. Good for {'winter': 52.1359, 'spring': 97.0874, 'summer': 89.1262, 'fall': 73.8835, 'day': 100.0, 'night': 62.9126}."
h24,for women and men,"{'cherry': 100.0, 'sweet': 94.3207, 'almond': 86.9121, 'nutty': 77.345, 'fruity': 73.7301, 'vanilla': 64.3773, 'warm spicy': 58.113, 'amber': 54.6754, 'woody': 52.0563, 'balsamic': 48.5998}","{'very weak': '492', 'weak': '1187', 'moderate': '3397', 'long lasting': '2032', 'eternal': '598'}","{'intimate': '1215', 'moderate': '4040', 'strong': '1822', 'enormous': '656'}","{'female': '2953', 'more female': '2231', 'unisex': '2269', 'more male': '102', 'male': '102'}","{'Bitter Almond': 4.25, 'Black Cherry': 3.35, 'Cherry Liqueur': 3.025}","{'Sour Cherry': 5.0, 'Plum': 2.875, 'Turkish Rose': 2.575, 'Jasmine Sambac': 2.5}","{'Vanilla': 3.35, 'Tonka Bean': 3.275, 'Cinnamon': 2.925, 'Peru Balsam': 2.85, 'Sandalwood': 2.8, 'Benzoin': 2.775, 'Cloves': 2.675, 'Cedar': 2.625, 'Patchouli': 2.55, 'Vetiver': 2.525}","{'love': 100.0, 'like': 61.2204, 'ok': 23.0007, 'dislike': 17.5736, 'hate': 7.10696}","{'winter': 96.1172, 'spring': 53.6264, 'summer': 34.7436, 'fall': 100.0, 'day': 65.4762, 'night': 93.6447}","{'very weak': 6.4, 'weak': 15.4, 'moderate': 44.1, 'long lasting': 26.4, 'eternal': 7.8}","{'intimate': 15.7, 'moderate': 52.2, 'strong': 23.6, 'enormous': 8.5}","{'female': 38.6, 'more female': 29.1, 'unisex': 29.6, 'more male': 1.3, 'male': 1.3}","{'cherry': 14.2, 'sweet': 13.3, 'almond': 12.2, 'nutty': 10.9, 'fruity': 10.3, 'vanilla': 9.1, 'warm spicy': 8.2, 'amber': 7.6, 'woody': 7.4, 'balsamic': 6.8}","{'Bitter Almond': 0.0818, 'Black Cherry': 0.0645, 'Cherry Liqueur': 0.0583}","{'Sour Cherry': 0.0963, 'Plum': 0.0554, 'Turkish Rose': 0.0496, 'Jasmine Sambac': 0.0481}","{'Vanilla': 0.0645, 'Tonka Bean': 0.0631, 'Cinnamon': 0.0563, 'Peru Balsam': 0.0549, 'Sandalwood': 0.0539, 'Benzoin': 0.0534, 'Cloves': 0.0515, 'Cedar': 0.0506, 'Patchouli': 0.0491, 'Vetiver': 0.0486}","{'love': 48.1, 'like': 29.3, 'ok': 11.1, 'dislike': 8.2, 'hate': 3.4}","{'winter': 33.8, 'spring': 18.9, 'summer': 12.2, 'fall': 35.2}","{'day': 41.1, 'night': 58.9}",24.4,53.4,41.6,58.9,49.6,"A for women and men perfume with cherry, sweet, almond, nutty, fruity, vanilla, warm spicy, amber, woody, balsamic accords. Features notes of Bitter Almond, Black Cherry, Cherry Liqueur. Good for {'winter': 96.1172, 'spring': 53.6264, 'summer': 34.7436, 'fall': 100.0, 'day': 65.4762, 'night': 93.6447}."
h25,for women and men,"{'amber': 100.0, 'oud': 82.3236, 'warm spicy': 78.2949, 'rose': 72.2704, 'smoky': 71.9879, 'woody': 57.73, 'fruity': 57.1295, 'leather': 55.5491, 'balsamic': 50.9579, 'sweet': 48.9905}","{'very weak': '53', 'weak': '50', 'moderate': '288', 'long lasting': '999', 'eternal': '2197'}","{'intimate': '79', 'moderate': '434', 'strong': '1265', 'enormous': '1779'}","{'female': '60', 'more female': '46', 'unisex': '764', 'more male': '989', 'male': '1555'}","{'Agarwood (Oud)': 5.0, 'Incense': 4.075, 'Rose': 3.975, 'Raspberry': 3.625, 'Amberwood': 3.325, 'Saffron': 3.275, 'Birch': 3.075, 'Benzoin': 3.05, 'Geranium': 2.5}",{},{},"{'love': 100.0, 'like': 28.1261, 'ok': 11.4423, 'dislike': 10.8599, 'hate': 7.15999}","{'winter': 100.0, 'spring': 27.1668, 'summer': 13.2556, 'fall': 79.3882, 'day': 29.4246, 'night': 88.7109}","{'very weak': 1.5, 'weak': 1.4, 'moderate': 8.0, 'long lasting': 27.9, 'eternal': 61.2}","{'intimate': 2.2, 'moderate': 12.2, 'strong': 35.6, 'enormous': 50.0}","{'female': 1.8, 'more female': 1.3, 'unisex': 22.4, 'more male': 29.0, 'male': 45.5}","{'amber': 14.9, 'oud': 12.2, 'warm spicy': 11.6, 'rose': 10.7, 'smoky': 10.6, 'woody': 8.5, 'fruity': 8.5, 'leather': 8.2, 'balsamic': 7.5, 'sweet': 7.2}","{'Agarwood (Oud)': 0.1567, 'Incense': 0.1277, 'Rose': 0.1246, 'Raspberry': 0.1136, 'Amberwood': 0.1042, 'Saffron': 0.1027, 'Birch': 0.0964, 'Benzoin': 0.0956, 'Geranium': 0.0784}",{},{},"{'love': 64.1, 'like': 17.9, 'ok': 7.1, 'dislike': 6.4, 'hate': 4.5}","{'winter': 45.5, 'spring': 12.4, 'summer': 6.0, 'fall': 36.1}","{'day': 24.9, 'night': 75.1}",78.8,86.5,77.8,75.1,44.2,"A for women and men perfume with amber, oud, warm spicy, rose, smoky, woody, fruity, leather, balsamic, sweet accords. Features notes of Agarwood (Oud), Incense, Rose, Raspberry, Amberwood, Saffron, Birch, Benzoin, Geranium. Good for {'winter': 100.0, 'spring': 27.1668, 'summer': 13.2556, 'fall': 79.3882, 'day': 29.4246, 'night': 88.7109}."
